date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01 00:00:00,13.2,7.4,21,0,,,7.8,,1021,
2024-01-02 00:00:00,13,4.8,23,0,,,9,,1022.5,
2024-01-03 00:00:00,14.9,6.9,25,0,,,7.8,,1022.9,
2024-01-04 00:00:00,14.8,7,23,0,,,8.2,,1019.9,
2024-01-05 00:00:00,12.8,9.6,17,10.9,,,11.3,,1020,
2024-01-06 00:00:00,11.4,6,19,0,,,9.3,,1020.3,
2024-01-07 00:00:00,11.6,1,21,0,,,7,,1020.5,
2024-01-08 00:00:00,12.2,2,23,0,,,7,,1020,
2024-01-09 00:00:00,12.4,5.5,21,0,,,7.6,,1019.7,
2024-01-10 00:00:00,13.7,5.8,23,0,,,6.7,,1020.2,
2024-01-11 00:00:00,13.5,6,23,0,,,7.5,,1018.8,
2024-01-12 00:00:00,14.3,5.7,25,0,,,8.6,,1019.6,
2024-01-13 00:00:00,15.3,5,27,0,,,9.6,,1022,
2024-01-14 00:00:00,14.1,8,23,0,,,7.4,,1023.1,
2024-01-15 00:00:00,14.9,5,26,0,,,7.6,,1021.6,
2024-01-16 00:00:00,13.7,7.7,20,0,,,9.4,,1019,
2024-01-17 00:00:00,16.3,9.4,22,0,,,9.7,,1017,
2024-01-18 00:00:00,15.2,8.8,23,0,,,6.2,,1015.7,
2024-01-19 00:00:00,12.9,10.6,15.4,13,,,10.6,,1016.9,
2024-01-20 00:00:00,11.4,5,18,0,,,7.3,,1022.5,
2024-01-21 00:00:00,12.2,6,19,0,,,7.1,,1026.9,
2024-01-22 00:00:00,12.6,4,23,0,,,6.4,,1030.2,
2024-01-23 00:00:00,13.7,4.8,25,0,,,7.2,,1031.8,
2024-01-24 00:00:00,15.3,6,26,0,,,6.7,,1031.1,
2024-01-25 00:00:00,16.1,6.5,27,0,,,9.2,,1029,
2024-01-26 00:00:00,16,3,27,0,,,7.4,,1027.9,
2024-01-27 00:00:00,15.7,5,26,0,,,6.7,,1026.1,
2024-01-28 00:00:00,15.1,6.6,25,0,,,8,,1023.9,
2024-01-29 00:00:00,14.6,6.9,23,0,,,7.2,,1025.2,
2024-01-30 00:00:00,15.9,7,26,0,,,7.9,,1025.2,
2024-01-31 00:00:00,15.1,6.6,25,0,,,8,,1026.3,
2024-02-01 00:00:00,15.1,6.5,24,0,,,7.3,,1027.7,
2024-02-02 00:00:00,14.8,6,25,0,,,7.2,,1026.5,
2024-02-03 00:00:00,14.8,5.8,25,0,,,8.3,,1025,
2024-02-04 00:00:00,14.8,6.1,24,0,,,7.3,,1027.1,
2024-02-05 00:00:00,14.4,7,22,0,,,7.4,,1028.1,
2024-02-06 00:00:00,13.5,5,23,0,,,6.6,,1027.9,
2024-02-07 00:00:00,13.7,5.2,24,0,,,8.4,,1025.4,
2024-02-08 00:00:00,14.6,6,23,0,,,7.9,,1019.6,
2024-02-09 00:00:00,14.3,12.5,19,17.5,,,13.5,,1010.4,
2024-02-10 00:00:00,14.6,11,19,5.5,,,15.3,,1013.3,
2024-02-11 00:00:00,14.4,9,21,0.1,,,5.8,,1018.8,
